Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,All_Symptoms
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching _yellowish_skin _nausea _loss_of_appetite _abdominal_pain _yellowing_of_eyes
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching _vomiting _nausea _loss_of_appetite _abdominal_pain _yellowing_of_eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching _vomiting _yellowish_skin _loss_of_appetite _abdominal_pain _yellowing_of_eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching _vomiting _yellowish_skin _nausea _abdominal_pain _yellowing_of_eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,itching _vomiting _yellowish_skin _nausea _loss_of_appetite _yellowing_of_eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,itching _vomiting _yellowish_skin _nausea _loss_of_appetite _abdominal_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,itching _vomiting _yellowish_skin _nausea _loss_of_appetite _abdominal_pain _yellowing_of_eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,itching _vomiting _yellowish_skin _nausea _loss_of_appetite _abdominal_pain _yellowing_of_eyes
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,itching _skin_rash _stomach_pain _burning_micturition _spotting__urination
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,itching _stomach_pain _burning_micturition _spotting__urination
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,itching _skin_rash _burning_micturition _spotting__urination
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,itching _skin_rash _stomach_pain _spotting__urination
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,itching _skin_rash _stomach_pain _burning_micturition
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,_skin_rash _stomach_pain _burning_micturition _spotting__urination
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,itching _stomach_pain _burning_micturition _spotting__urination
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,itching _skin_rash _burning_micturition _spotting__urination
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,itching _skin_rash _stomach_pain _spotting__urination
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,itching _skin_rash _stomach_pain _burning_micturition
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,_vomiting _loss_of_appetite _abdominal_pain _passage_of_gases _internal_itching
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,_vomiting _indigestion _abdominal_pain _passage_of_gases _internal_itching
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,_indigestion _loss_of_appetite _abdominal_pain _passage_of_gases _internal_itching
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,_vomiting _loss_of_appetite _abdominal_pain _passage_of_gases _internal_itching
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,_vomiting _indigestion _abdominal_pain _passage_of_gases _internal_itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,,_vomiting _indigestion _loss_of_appetite _passage_of_gases _internal_itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,,_vomiting _indigestion _loss_of_appetite _abdominal_pain _internal_itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,,_vomiting _indigestion _loss_of_appetite _abdominal_pain _passage_of_gases
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,_vomiting _indigestion _loss_of_appetite _abdominal_pain _passage_of_gases _internal_itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,_vomiting _indigestion _loss_of_appetite _abdominal_pain _passage_of_gases _internal_itching
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,_muscle_wasting _patches_in_throat _high_fever _extra_marital_contacts
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,_patches_in_throat _high_fever _extra_marital_contacts
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,_muscle_wasting _high_fever _extra_marital_contacts
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,,_muscle_wasting _patches_in_throat _extra_marital_contacts
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,_muscle_wasting _patches_in_throat _high_fever
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,_muscle_wasting _patches_in_throat _high_fever _extra_marital_contacts
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,_muscle_wasting _patches_in_throat _high_fever _extra_marital_contacts
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,_patches_in_throat _high_fever _extra_marital_contacts
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,_muscle_wasting _high_fever _extra_marital_contacts
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,_muscle_wasting _patches_in_throat _high_fever
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,_fatigue _weight_loss _restlessness _lethargy _irregular_sugar_level _blurred_and_distorted_vision _obesity _excessive_hunger _increased_appetite _polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,_fatigue _weight_loss _restlessness _lethargy _irregular_sugar_level _blurred_and_distorted_vision _obesity _excessive_hunger _increased_appetite _polyuria
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,_weight_loss _restlessness _lethargy _irregular_sugar_level _blurred_and_distorted_vision _obesity _excessive_hunger _increased_appetite _polyuria
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,_fatigue _restlessness _lethargy _irregular_sugar_level _blurred_and_distorted_vision _obesity _excessive_hunger _increased_appetite _polyuria
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,_fatigue _weight_loss _lethargy _irregular_sugar_level _blurred_and_distorted_vision _obesity _excessive_hunger _increased_appetite _polyuria
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,_fatigue _weight_loss _restlessness _irregular_sugar_level _blurred_and_distorted_vision _obesity _excessive_hunger _increased_appetite _polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,_fatigue _weight_loss _restlessness _lethargy _blurred_and_distorted_vision _obesity _excessive_hunger _increased_appetite _polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,_fatigue _weight_loss _restlessness _lethargy _irregular_sugar_level _obesity _excessive_hunger _increased_appetite _polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,,_fatigue _weight_loss _restlessness _lethargy _irregular_sugar_level _blurred_and_distorted_vision _excessive_hunger _increased_appetite _polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,,_fatigue _weight_loss _restlessness _lethargy _irregular_sugar_level _blurred_and_distorted_vision _obesity _increased_appetite _polyuria
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,_vomiting _sunken_eyes _dehydration _diarrhoea
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,_vomiting _sunken_eyes _dehydration _diarrhoea
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,_sunken_eyes _dehydration _diarrhoea
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,_vomiting _dehydration _diarrhoea
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,_vomiting _sunken_eyes _diarrhoea
Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,,_vomiting _sunken_eyes _dehydration
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,_vomiting _sunken_eyes _dehydration _diarrhoea
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,_sunken_eyes _dehydration _diarrhoea
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,_vomiting _dehydration _diarrhoea
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,_vomiting _sunken_eyes _diarrhoea
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,_fatigue _cough _high_fever _breathlessness _family_history _mucoid_sputum
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,_cough _high_fever _breathlessness _family_history _mucoid_sputum
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,_fatigue _high_fever _breathlessness _family_history _mucoid_sputum
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,_fatigue _cough _breathlessness _family_history _mucoid_sputum
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,,_fatigue _cough _high_fever _family_history _mucoid_sputum
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,,_fatigue _cough _high_fever _breathlessness _mucoid_sputum
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,,_fatigue _cough _high_fever _breathlessness _family_history
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,_fatigue _cough _high_fever _breathlessness _family_history _mucoid_sputum
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,_cough _high_fever _breathlessness _family_history _mucoid_sputum
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,_fatigue _high_fever _breathlessness _family_history _mucoid_sputum
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,_headache _chest_pain _dizziness _loss_of_balance _lack_of_concentration
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,_chest_pain _dizziness _loss_of_balance _lack_of_concentration
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,_headache _dizziness _loss_of_balance _lack_of_concentration
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,_headache _chest_pain _loss_of_balance _lack_of_concentration
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,,_headache _chest_pain _dizziness _lack_of_concentration
Hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,_headache _chest_pain _dizziness _loss_of_balance
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,_headache _chest_pain _dizziness _loss_of_balance _lack_of_concentration
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,_chest_pain _dizziness _loss_of_balance _lack_of_concentration
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,_headache _dizziness _loss_of_balance _lack_of_concentration
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,_headache _chest_pain _loss_of_balance _lack_of_concentration
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,_acidity _indigestion _headache _blurred_and_distorted_vision _excessive_hunger _stiff_neck _depression _irritability _visual_disturbances
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,_indigestion _headache _blurred_and_distorted_vision _excessive_hunger _stiff_neck _depression _irritability _visual_disturbances
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,_acidity _headache _blurred_and_distorted_vision _excessive_hunger _stiff_neck _depression _irritability _visual_disturbances
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,_acidity _indigestion _blurred_and_distorted_vision _excessive_hunger _stiff_neck _depression _irritability _visual_disturbances
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,_acidity _indigestion _headache _excessive_hunger _stiff_neck _depression _irritability _visual_disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,_acidity _indigestion _headache _blurred_and_distorted_vision _stiff_neck _depression _irritability _visual_disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,_acidity _indigestion _headache _blurred_and_distorted_vision _excessive_hunger _depression _irritability _visual_disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,_acidity _indigestion _headache _blurred_and_distorted_vision _excessive_hunger _stiff_neck _irritability _visual_disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,_acidity _indigestion _headache _blurred_and_distorted_vision _excessive_hunger _stiff_neck _depression _visual_disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,_acidity _indigestion _headache _blurred_and_distorted_vision _excessive_hunger _stiff_neck _depression _irritability
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,_back_pain _weakness_in_limbs _neck_pain _dizziness _loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,_back_pain _weakness_in_limbs _neck_pain _dizziness _loss_of_balance
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,_weakness_in_limbs _neck_pain _dizziness _loss_of_balance
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,_back_pain _neck_pain _dizziness _loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,_back_pain _weakness_in_limbs _dizziness _loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,_back_pain _weakness_in_limbs _neck_pain _loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,_back_pain _weakness_in_limbs _neck_pain _dizziness
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,_back_pain _weakness_in_limbs _neck_pain _dizziness _loss_of_balance
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,_weakness_in_limbs _neck_pain _dizziness _loss_of_balance
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,_back_pain _neck_pain _dizziness _loss_of_balance
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,_vomiting _headache _weakness_of_one_body_side _altered_sensorium
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,_vomiting _headache _weakness_of_one_body_side _altered_sensorium
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,_headache _weakness_of_one_body_side _altered_sensorium
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,_vomiting _weakness_of_one_body_side _altered_sensorium
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,_vomiting _headache _altered_sensorium
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,,_vomiting _headache _weakness_of_one_body_side
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,_vomiting _headache _weakness_of_one_body_side _altered_sensorium
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,_headache _weakness_of_one_body_side _altered_sensorium
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,_vomiting _weakness_of_one_body_side _altered_sensorium
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,_vomiting _headache _altered_sensorium
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,itching _vomiting _fatigue _weight_loss _high_fever _yellowish_skin _dark_urine _abdominal_pain
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,itching _vomiting _fatigue _weight_loss _high_fever _yellowish_skin _dark_urine _abdominal_pain
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,_vomiting _fatigue _weight_loss _high_fever _yellowish_skin _dark_urine _abdominal_pain
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,itching _fatigue _weight_loss _high_fever _yellowish_skin _dark_urine _abdominal_pain
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,itching _vomiting _weight_loss _high_fever _yellowish_skin _dark_urine _abdominal_pain
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,itching _vomiting _fatigue _high_fever _yellowish_skin _dark_urine _abdominal_pain
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,itching _vomiting _fatigue _weight_loss _yellowish_skin _dark_urine _abdominal_pain
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,,itching _vomiting _fatigue _weight_loss _high_fever _dark_urine _abdominal_pain
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,,itching _vomiting _fatigue _weight_loss _high_fever _yellowish_skin _abdominal_pain
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,,itching _vomiting _fatigue _weight_loss _high_fever _yellowish_skin _dark_urine
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,_chills _vomiting _high_fever _sweating _headache _nausea _muscle_pain
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,_chills _vomiting _high_fever _sweating _headache _nausea _diarrhoea _muscle_pain
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,_chills _vomiting _high_fever _sweating _headache _nausea _diarrhoea _muscle_pain
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,_vomiting _high_fever _sweating _headache _nausea _diarrhoea _muscle_pain
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,_chills _high_fever _sweating _headache _nausea _diarrhoea _muscle_pain
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,_chills _vomiting _sweating _headache _nausea _diarrhoea _muscle_pain
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,,,,,,,,,,,_chills _vomiting _high_fever _headache _nausea _diarrhoea _muscle_pain
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,,,,,,,,,,,_chills _vomiting _high_fever _sweating _nausea _diarrhoea _muscle_pain
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,,,,,,,,,,,_chills _vomiting _high_fever _sweating _headache _diarrhoea _muscle_pain
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,_chills _vomiting _high_fever _sweating _headache _nausea _muscle_pain
